bin_left,bin_right,n,mean_confidence,empirical_accuracy,gap
0.8,0.8200000000000001,8,0.8075761795043945,0.75,0.05757617950439453
0.8200000000000001,0.8400000000000001,9,0.8288891315460205,0.6666666666666666,0.16222246487935388
0.8400000000000001,0.86,3,0.8477215766906738,1.0,0.15227842330932617
0.86,0.88,2,0.8668107986450195,1.0,0.13318920135498047
0.88,0.9,4,0.8894280195236206,1.0,0.1105719804763794
0.9,0.92,7,0.913483738899231,0.8571428571428571,0.05634088175637386
0.92,0.9400000000000001,9,0.932409942150116,0.8888888888888888,0.04352105326122713
0.9400000000000001,0.96,8,0.9501708745956421,1.0,0.04982912540435791
0.96,0.98,31,0.9743435978889465,0.8709677419354839,0.10337585595346266
0.98,1.0,59871,0.9996801614761353,0.9997828664963003,0.00010270502016507255
