bin_left,bin_right,n,mean_confidence,empirical_accuracy,gap
0.8,0.8200000000000001,10,0.811376690864563,0.8,0.011376690864562944
0.8200000000000001,0.8400000000000001,8,0.833619236946106,0.875,0.04138076305389404
0.8400000000000001,0.86,18,0.8488832116127014,1.0,0.15111678838729858
0.86,0.88,20,0.8736117482185364,0.9,0.026388251781463645
0.88,0.9,26,0.8904590606689453,1.0,0.10954093933105469
0.9,0.92,77,0.9107799530029297,0.974025974025974,0.06324602102304433
0.92,0.9400000000000001,98,0.9314888119697571,1.0,0.06851118803024292
0.9400000000000001,0.96,156,0.9515836834907532,0.9615384615384616,0.00995477804770839
0.96,0.98,383,0.9726988673210144,0.9973890339425587,0.02469016662154433
0.98,1.0,59144,0.9985170364379883,0.9997971053699446,0.001280068931956313
