bin_left,bin_right,n,mean_confidence,empirical_accuracy,gap
0.8,0.8200000000000001,2440,0.8096086978912354,0.4045081967213115,0.40510050116992385
0.8200000000000001,0.8400000000000001,1638,0.8295144438743591,0.5274725274725275,0.30204191640183164
0.8400000000000001,0.86,1013,0.8496445417404175,0.7077986179664363,0.1418459237739812
0.86,0.88,923,0.8700465559959412,0.8028169014084507,0.06722965458749042
0.88,0.9,985,0.8897441029548645,0.8467005076142132,0.043043595340651275
0.9,0.92,1048,0.910216212272644,0.9045801526717557,0.00563605960088831
0.92,0.9400000000000001,1066,0.9300850033760071,0.9324577861163227,0.0023727827403156043
0.9400000000000001,0.96,1321,0.9503728151321411,0.9477668433005298,0.0026059718316112646
0.96,0.98,2093,0.9707496762275696,0.9761108456760631,0.005361169448493519
0.98,1.0,32460,0.9985209107398987,0.9993222427603204,0.0008013320204217633
